id,max_,min_,mean_,median_,std_,wealth
1171.0,63.0,31.0,58.77,62.0,6.646585589609148,0.6919
1172.0,63.0,24.0,56.95,61.0,8.536246247619617,0.9913799999999999
1173.0,63.0,26.0,57.69,61.0,7.858364969890365,0.8123400000000001
1174.0,63.0,15.0,52.88,60.0,13.166837129698234,-0.26992
1175.0,63.0,26.0,57.69,61.0,7.858364969890365,0.8526549999999999
1176.0,63.0,20.0,55.17,60.0,10.298596991823693,0.9722700000000001
1177.0,63.0,26.0,57.69,61.0,7.858364969890365,0.8381350000000001
1178.0,63.0,22.0,57.27,61.0,8.763395460664777,1.07776
1179.0,63.0,18.0,54.68,60.0,11.367391961219601,0.9776299999999999
1180.0,63.0,26.0,57.69,61.0,7.858364969890365,0.551365
1181.0,63.0,43.0,60.72,62.0,3.7578717380985736,0.36021
1182.0,63.0,26.0,57.69,61.0,7.858364969890365,0.74802
1183.0,63.0,24.0,56.95,61.0,8.536246247619617,1.05151
1184.0,63.0,16.0,51.9,58.5,12.780845042484476,1.03099
1185.0,63.0,15.0,51.34,58.5,13.707822584203518,0.99613
1186.0,63.0,20.0,55.17,60.0,10.298596991823693,1.10288
1187.0,63.0,16.0,51.9,58.5,12.780845042484476,1.044245
1188.0,63.0,24.0,56.95,61.0,8.536246247619617,1.14838
1189.0,63.0,18.0,54.68,60.0,11.367391961219601,1.101
1190.0,63.0,31.0,58.77,62.0,6.646585589609148,1.1984350000000001
1191.0,63.0,18.0,54.68,60.0,11.367391961219601,0.8084199999999999
1192.0,63.0,20.0,55.17,60.0,10.298596991823693,0.9430200000000001
1193.0,63.0,20.0,55.17,60.0,10.298596991823693,1.00091
1194.0,63.0,18.0,54.68,60.0,11.367391961219601,1.1056700000000002
1195.0,63.0,20.0,55.17,60.0,10.298596991823693,0.49703
1196.0,63.0,18.0,54.68,60.0,11.367391961219601,0.817105
1197.0,63.0,20.0,55.36,60.0,10.39184295493345,1.0222200000000001
1198.0,63.0,20.0,55.17,60.0,10.298596991823693,1.1671200000000002
1199.0,63.0,33.0,59.51,62.0,5.643571564178131,1.2194699999999998
1200.0,63.0,33.0,59.51,62.0,5.643571564178131,1.24085
1201.0,63.0,24.0,56.95,61.0,8.536246247619617,1.05358
1202.0,63.0,15.0,52.88,60.0,13.166837129698234,0.7936
1203.0,63.0,24.0,56.95,61.0,8.536246247619617,1.14058
1204.0,63.0,24.0,56.95,61.0,8.536246247619617,1.0435299999999998
1205.0,63.0,15.0,51.34,58.5,13.707822584203518,1.012965
1206.0,63.0,20.0,55.17,60.0,10.298596991823693,0.6913199999999999
1207.0,63.0,26.0,57.69,61.0,7.858364969890365,0.99704
1208.0,63.0,24.0,56.95,61.0,8.536246247619617,0.77888
1209.0,63.0,15.0,51.34,58.5,13.707822584203518,1.0720299999999998
1210.0,63.0,20.0,55.17,60.0,10.298596991823693,1.0720299999999998
1211.0,63.0,24.0,56.95,61.0,8.536246247619617,1.01098
1212.0,63.0,31.0,58.77,62.0,6.646585589609148,-0.303045
1213.0,63.0,35.0,59.98,62.0,5.199961538319299,1.1381
1214.0,63.0,27.0,53.65,58.0,10.016361614877928,0.81602
1215.0,63.0,15.0,46.41,55.0,17.2685233879449,1.0593549999999998
1216.0,63.0,20.0,50.46,55.5,12.416456821492998,1.062735
1217.0,63.0,17.0,50.32,59.5,15.192024223256096,0.950615
1218.0,63.0,19.0,50.9,56.5,12.961867149450343,0.8794200000000001
1219.0,63.0,17.0,50.32,59.5,15.192024223256096,0.9913799999999999
1220.0,63.0,25.0,54.21,59.0,10.292030897738307,0.96247
1221.0,63.0,25.0,54.21,59.0,10.292030897738307,1.05306
1222.0,63.0,19.0,50.94,58.0,13.707530776912376,1.033005
1223.0,63.0,32.0,55.22,59.0,8.45290482615296,0.94271
1224.0,63.0,17.0,50.32,59.5,15.192024223256096,1.0914700000000002
1225.0,63.0,14.0,45.83,54.5,17.77979471197573,1.093045
1226.0,63.0,25.0,54.21,59.0,10.292030897738307,0.9913799999999999
1227.0,63.0,19.0,50.94,58.0,13.707530776912376,0.8104399999999999
1228.0,63.0,27.0,53.65,58.0,10.016361614877928,0.80089
1229.0,63.0,34.0,56.36,60.0,7.7775574571969575,1.1963
1230.0,63.0,27.0,53.65,58.0,10.016361614877928,1.2148
1231.0,63.0,34.0,56.36,60.0,7.7775574571969575,1.0311849999999998
1232.0,63.0,14.0,45.83,54.5,17.77979471197573,0.7611749999999999
1233.0,63.0,14.0,45.83,54.5,17.77979471197573,0.86014
1234.0,63.0,25.0,54.21,59.0,10.292030897738307,0.9294600000000001
1235.0,61.0,8.0,28.09,24.5,15.797528287678425,1.07497
1236.0,61.0,9.0,28.99,27.0,15.278412875688366,0.20504
1237.0,45.0,7.0,20.1,14.0,12.414104881142258,1.07244
1238.0,57.0,8.0,25.35,22.0,14.309699507676603,1.20586
1239.0,45.0,7.0,20.1,14.0,12.414104881142258,0.99326
1240.0,61.0,8.0,28.09,24.5,15.797528287678425,0.9924200000000001
1241.0,61.0,9.0,28.99,27.0,15.278412875688366,0.02126
